,lat,lon,cad,name,type,ele,time,hr
0,31.0556147,121.0375784,56.0,Saturday Morning Run,running,6.0,2023-07-01T02:11:49.829Z,
1,31.0555775,121.037609,77.0,Saturday Morning Run,running,6.0,2023-07-01T02:11:55.999Z,
2,31.0555284,121.0376425,73.0,Saturday Morning Run,running,6.0,2023-07-01T02:11:57.999Z,
3,31.0554822,121.037689,72.0,Saturday Morning Run,running,6.0,2023-07-01T02:11:59.999Z,
4,31.0554343,121.0377295,72.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:01.999Z,
5,31.0553823,121.0377738,76.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:03.999Z,
6,31.0553363,121.0378177,78.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:05.999Z,141.0
7,31.0552884,121.0378565,78.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:07.999Z,141.0
8,31.0552435,121.037897,84.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:09.999Z,142.0
9,31.0551873,121.0379375,91.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:11.999Z,142.0
10,31.0551404,121.0379804,91.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:13.999Z,142.0
11,31.0550964,121.0380241,90.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:15.999Z,142.0
12,31.0550461,121.0380711,90.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:17.999Z,142.0
13,31.0550198,121.0381137,92.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:19.999Z,142.0
14,31.0549802,121.0381654,90.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:21.999Z,142.0
15,31.0549475,121.0382026,88.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:23.999Z,142.0
16,31.0549163,121.0382466,89.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:25.999Z,157.0
17,31.0548642,121.0382941,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:27.999Z,157.0
18,31.0548252,121.0383392,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:29.999Z,157.0
19,31.054791,121.0383866,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:31.999Z,160.0
20,31.0547675,121.0384336,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:33.999Z,160.0
21,31.0547354,121.0384934,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:35.999Z,160.0
22,31.0547227,121.0385456,92.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:37.999Z,160.0
23,31.0547116,121.0386137,90.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:39.999Z,160.0
24,31.0546933,121.0386812,92.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:41.999Z,164.0
25,31.0546841,121.0387484,94.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:43.999Z,164.0
26,31.0546759,121.0388232,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:45.999Z,164.0
27,31.0546651,121.0388969,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:47.999Z,165.0
28,31.0546571,121.0389602,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:49.999Z,165.0
29,31.054658,121.0390257,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:51.999Z,165.0
30,31.054647,121.0390992,91.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:53.999Z,165.0
31,31.0546449,121.0391615,92.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:55.998Z,165.0
32,31.0546333,121.0392229,90.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:57.998Z,165.0
33,31.0546362,121.0392961,89.0,Saturday Morning Run,running,6.0,2023-07-01T02:12:59.998Z,165.0
34,31.0546382,121.0393554,93.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:01.998Z,165.0
35,31.0546244,121.0394295,94.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:03.998Z,165.0
36,31.0546107,121.0394864,95.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:05.998Z,165.0
37,31.0545913,121.0395513,91.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:07.998Z,165.0
38,31.0545769,121.039607,92.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:09.998Z,165.0
39,31.0545562,121.0396728,94.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:11.999Z,165.0
40,31.0545444,121.0397424,94.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:14.999Z,165.0
41,31.0545498,121.0397953,94.0,Saturday Morning Run,running,6.0,2023-07-01T02:13:16.999Z,165.0
